Falciparum_MSP_Variants,Falciparum_Nonspecific_Types,MSP1_Merozoite_Kill_Fraction,Max_Individual_Infections,Falciparum_PfEMP1_Variants,Antigen_Switch_Rate,Nonspecific_Antigenicity_Factor,loss,lr
47.0,169.0,0.5949562191963196,7.0,3056.0,0.039407692849636,0.2408299893140792,0.2657278776168823,0.01
47.0,169.0,0.6012659668922424,7.0,3056.0,0.0390509702265262,0.2403670996427536,0.265817642211914,0.01
28.0,18.0,0.4471587836742401,8.0,3891.0,0.0526626296341419,0.211599200963974,0.2662688493728637,0.1
28.0,18.0,0.4521559178829193,8.0,3891.0,0.0530340373516082,0.2102282345294952,0.266601413488388,0.1
28.0,18.0,0.3488656878471374,8.0,3892.0,0.0614284314215183,0.2364134937524795,0.2670715153217315,0.5
28.0,18.0,0.4301322102546692,8.0,3892.0,0.0723642483353614,0.2255610227584839,0.26714888215065,0.5
47.0,169.0,0.6061075925827026,7.0,3056.0,0.0525489896535873,0.1984539777040481,0.2685551047325134,0.01
28.0,18.0,0.4294314086437225,8.0,3504.0,0.0570215322077274,0.1904715150594711,0.2688717544078827,0.1
432.0,275.0,0.5659711360931396,7.0,604.0,0.0040486697107553,0.4576541483402252,0.2695034444332123,0.1
437.0,275.0,0.5267398357391357,7.0,704.0,0.0046687349677085,0.4561895430088043,0.2703807353973388,0.1
